Date,Time of Day,Day of Week,Latitude,Longitude,Neighborhood,Safety Index,Population Density,Median Income,Crime Type,Severity Score,Past Crime Density,Arrest Made,Temperature,Visibility,Event,Location Type,Unemployment Rate,Actions Taken,Police Station Proximity (km),Surveillance Cameras,Public Transport Score
2024-02-28,Morning,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,9,8,1,-3.6731908369331823,Clear,None,Parks,6.917561992659351,5,8.6875439732063,17,3
2024-12-25,Evening,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Robbery,7,32,0,1.022463045707127,Rainy,Christmas,Commercial,9.663894081385292,5,9.44685498800571,13,4
2024-03-20,Morning,Wednesday,34.0522,-118.2437,Suburban,7,5000,75000,Vandalism,5,36,0,6.236776198246758,Clear,None,Parks,3.0443277985881654,10,8.533753403089595,3,10
2024-08-31,Night,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Theft,4,37,0,6.813285715054009,Foggy,None,Residential,6.959452437243355,6,4.943167209964927,14,5
2024-01-24,Evening,Wednesday,34.0522,-118.2437,Suburban,7,5000,75000,Fraud,2,25,1,11.239238853032852,Rainy,None,Highways,5.232482519346769,4,4.074212071077349,1,2
2024-07-12,Night,Friday,34.0522,-118.2437,Suburban,7,5000,75000,Burglary,9,48,0,11.149702925121918,Rainy,None,Commercial,5.2329925609677375,10,5.514741612251297,9,9
2024-08-19,Night,Monday,41.8781,-87.6298,Urban,5,15000,55000,Assault,5,10,1,26.143132674451884,Clear,None,Parks,6.1349356255802805,3,6.540411343350222,13,5
2024-06-15,Evening,Saturday,29.7604,-95.3698,Industrial,4,10000,50000,Fraud,5,44,1,32.553817601050106,Rainy,None,Highways,4.806216732919893,10,1.5856944809111015,12,3
2024-09-17,Afternoon,Tuesday,41.8781,-87.6298,Urban,5,15000,55000,Vandalism,7,22,0,-2.9141578760175424,Clear,None,Parks,9.764877812600176,2,5.472034424342663,18,4
2024-09-18,Evening,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Fraud,6,44,0,27.780380008829553,Clear,None,Commercial,4.648807395403551,6,7.670066368044746,13,10
2024-06-26,Evening,Wednesday,29.7604,-95.3698,Industrial,4,10000,50000,Burglary,8,46,0,30.25051741545503,Foggy,None,Commercial,6.308794831737345,10,8.666142367322113,7,7
2024-09-24,Night,Tuesday,41.8781,-87.6298,Urban,5,15000,55000,Assault,2,42,0,18.786858041346704,Foggy,None,Residential,6.433818971136441,2,7.81624329645203,1,10
2024-08-07,Morning,Wednesday,40.7128,-74.006,Downtown,3,25000,60000,Vandalism,9,12,1,13.549121776067011,Clear,None,Parks,5.916547940292163,8,5.956547148811572,17,7
